ability_id,ability_text_ko,tts_text,voice_tag,review_status,source_card_nos,source_card_ids,source_bird_names,source_ocr_texts
ability_192910fd380c,원하는 새에서 알 1개를 버립니다. 그렇게 했다면 당신의 숲 서식지에 새 1마리를 추가로 냅니다. 원래 먹이 비용과 알 비용을 지불합니다.,원하는 새에서 알 1개를 버립니다. 그렇게 했다면 당신의 숲 서식지에 새 1마리를 추가로 냅니다. 원래 먹이 비용과 알 비용을 지불합니다.,Jean,translated_draft,236,atlas03_r05_c04,시오르트트오에드트르이크르이프어새,"Discard 1 [egg] from any bird. If you do, play another bird in your [forest]. Pay its normal food and egg cost."
ability_1a11520fd5b4,공급처에서 씨앗 먹이 1개를 가져와 이 새 위에 저장합니다. 언제든지 이 새 위에 저장된 씨앗 먹이를 사용할 수 있습니다.,공급처에서 씨앗 먹이 1개를 가져와 이 새 위에 저장합니다. 언제든지 이 새 위에 저장된 씨앗 먹이를 사용할 수 있습니다.,Jean,translated_draft,184|185,atlas02_r07_c02|atlas02_r07_c03,크오아르트이트새|유라시아동고비,"Gain 1 [seed] from the supply and cache it on this card. At any time, you may spend [seed] cached on this card."
ability_1b29622e38d1,공급처에서 씨앗 먹이 1개를 가져옵니다.,공급처에서 씨앗 먹이 1개를 가져옵니다.,Jean,translated_draft,75,atlas01_r03_c03,점박이토히,Gain 1 [seed] from the supply.
ability_1d2353f18fdb,손에 있는 카드 1장을 이 새 아래에 끼워넣습니다. 그렇게 했다면 공급처에서 씨앗 먹이 1개를 가져옵니다.,손에 있는 카드 1장을 이 새 아래에 끼워넣습니다. 그렇게 했다면 공급처에서 씨앗 먹이 1개를 가져옵니다.,Jean,translated_draft,133|134,atlas02_r02_c01|atlas02_r02_c02,소나무스이스크이느새|검은에이에드정코새,"Tuck a [card] from your hand behind this bird. If you do, gain 1 [seed] from the supply."
ability_290d6b156f6f,당신의 접시형 둥지 새마다 알 1개씩 낳습니다.,당신의 접시형 둥지 새마다 알 1개씩 낳습니다.,Jean,translated_draft,138,atlas02_r02_c06,잉카비둘기,Lay 1 [egg] on each of your birds with a [platform] nest.
ability_2ae9965e8f3e,공급처 밖에 있는 모든 주사위를 굴립니다. 설치류 먹이가 하나라도 나오면 이 새에 알 1개를 놓습니다.,공급처 밖에 있는 모든 주사위를 굴립니다. 설치류 먹이가 하나라도 나오면 이 새에 알 1개를 놓습니다.,Jean,translated_draft,237,atlas03_r05_c05,에르에오느오르아스매,"Roll all dice not in the birdfeeder. If any are [rodent], place 1 [egg] on this card."
ability_2b9ae7410ead,"아무 먹이 1개를 공급처에 반납하고, 공급처에서 다른 아무 먹이 1개를 가져옵니다.","아무 먹이 1개를 공급처에 반납하고, 공급처에서 다른 아무 먹이 1개를 가져옵니다.",Jean,translated_draft,77,atlas01_r03_c05,초록왜가리,Trade 1 [wild] for any other [wild] from the supply.
ability_2c149d119d2d,"다른 플레이어가 알 낳기 행동을 할 때, 이 새는 사발형 또는 바닥형 둥지를 가진 다른 새 1마리에 알 1개를 낳습니다.","다른 플레이어가 알 낳기 행동을 할 때, 이 새는 사발형 또는 바닥형 둥지를 가진 다른 새 1마리에 알 1개를 낳습니다.",Jean,translated_draft,201,atlas03_r01_c09,일반뻐꾸기,"When another player takes the ""lay eggs"" action, this bird lays 1 [egg] on another bird with a [bowl] or [ground] nest."
ability_2de42edf556d,공급처를 다시 굴립니다. 그렇게 했다면 다시 굴린 뒤 공급처에서 씨앗 먹이 1개나 과일 먹이 1개를 가져옵니다.,공급처를 다시 굴립니다. 그렇게 했다면 다시 굴린 뒤 공급처에서 씨앗 먹이 1개나 과일 먹이 1개를 가져옵니다.,Jean,translated_draft,214,atlas03_r03_c02,브우르르프이느치새,"Reset the birdfeeder. If you do, gain 1 [seed] or [fruit] from the birdfeeder after resetting."
ability_315116a84dba,"이 새가 자기 서식지의 다른 모든 새보다 오른쪽에 있다면, 이 새를 다른 서식지로 옮깁니다.","이 새가 자기 서식지의 다른 모든 새보다 오른쪽에 있다면, 이 새를 다른 서식지로 옮깁니다.",Jean,translated_draft,81|82|83|84|85|86|87|88,atlas01_r03_c09|atlas01_r03_c10|atlas01_r04_c01|atlas01_r04_c02|atlas01_r04_c03|atlas01_r04_c04|atlas01_r04_c05|atlas01_r04_c06,뷰익굴뚝새|노란가슴챗|일반쏙독새|노래참새|흰관참새|굴뚝칼새|푸른콩새|링컨참새,"If this bird is to the right of all other birds in its habitat, move it to another habitat."
ability_337f78da8154,공급처를 다시 굴립니다. 그렇게 했다면 다시 굴린 뒤 공급처에서 씨앗 먹이 1개를 가져옵니다.,공급처를 다시 굴립니다. 그렇게 했다면 다시 굴린 뒤 공급처에서 씨앗 먹이 1개를 가져옵니다.,Jean,translated_draft,213,atlas03_r03_c01,흐오프이느치새,"Reset the birdfeeder. If you do, gain 1 [seed] from the birdfeeder after resetting."
ability_3b77a026e65b,공급처를 다시 굴립니다. 그렇게 했다면 다시 굴린 뒤 공급처에 있는 무척추동물 먹이를 모두 가져옵니다.,공급처를 다시 굴립니다. 그렇게 했다면 다시 굴린 뒤 공급처에 있는 무척추동물 먹이를 모두 가져옵니다.,Jean,translated_draft,211,atlas03_r02_c09,에어오프이느흐오느에이브우즈즈아르드새,"Reset the birdfeeder. If you do, gain all [invertebrate] in the birdfeeder after resetting."
ability_3ce213dad520,당신의 바닥형 둥지 새마다 알 1개씩 낳습니다.,당신의 바닥형 둥지 새마다 알 1개씩 낳습니다.,Jean,translated_draft,141,atlas02_r02_c09,보보링크새,Lay 1 [egg] on each of your birds with a [ground] nest.
ability_47d8d68665f9,이 서식지에 있는 새 1마리에서 5마리까지 선택합니다. 선택한 새마다 손에 있는 카드 1장을 그 새 아래에 끼워넣습니다.,이 서식지에 있는 새 1마리에서 5마리까지 선택합니다. 선택한 새마다 손에 있는 카드 1장을 그 새 아래에 끼워넣습니다.,Jean,translated_draft,257|258,atlas03_r07_c05|atlas03_r07_c06,일반치아프프이느치새|일반치이프프치아프프새,Choose 1-5 birds in this habitat. Tuck 1 [card] from your hand behind each.
ability_4bb6275048d0,다른 플레이어 1명을 선택합니다. 그 플레이어의 초원 서식지에 있는 행동 큐브 1개마다 공급처에서 아무 먹이 1개를 가져와 당신의 원하는 새 위에 저장합니다.,다른 플레이어 1명을 선택합니다. 그 플레이어의 초원 서식지에 있는 행동 큐브 1개마다 공급처에서 아무 먹이 1개를 가져와 당신의 원하는 새 위에 저장합니다.,Jean,translated_draft,181,atlas02_r06_c09,유라시아까치,"Choose 1 other player. For each action cube in their [grassland], cache 1 [wild] from the supply on any of your birds."
ability_4c7162a9f51b,공급처에서 물고기 먹이 3개를 가져옵니다.,공급처에서 물고기 먹이 3개를 가져옵니다.,Jean,translated_draft,142,atlas02_r02_c10,갈색펠리컨,Gain 3 [fish] from the supply.
ability_4f43b66416a4,초원 서식지에 살 수 있는 공개 카드 1장을 가져옵니다.,초원 서식지에 살 수 있는 공개 카드 1장을 가져옵니다.,Jean,translated_draft,196,atlas03_r01_c04,일반작은해오라기,Gain 1 face-up [card] that can live in [grassland].
ability_50726b7e9479,새 카드 트레이에 공개된 카드 3장을 모두 뽑습니다.,새 카드 트레이에 공개된 카드 3장을 모두 뽑습니다.,Jean,translated_draft,175,atlas02_r06_c03,브란트새,Draw the 3 face-up [card] in the bird tray.
ability_5100532d0dd0,다른 플레이어의 공급처에서 무척추동물 먹이 1개를 가져와 이 새 위에 저장합니다. 그 플레이어는 공급처에서 먹이 주사위 1개를 가져옵니다.,다른 플레이어의 공급처에서 무척추동물 먹이 1개를 가져와 이 새 위에 저장합니다. 그 플레이어는 공급처에서 먹이 주사위 1개를 가져옵니다.,Jean,translated_draft,187,atlas02_r07_c05,붉은브아크에드때까치,Steal 1 [invertebrate] from another player's supply and cache it on this bird. They gain 1 [die] from the birdfeeder.
ability_5136c75da11d,이 새를 가로로 놓아 습지 서식지 칸 2개를 덮게 합니다. 더 낮은 알 비용을 지불합니다.,이 새를 가로로 놓아 습지 서식지 칸 2개를 덮게 합니다. 더 낮은 알 비용을 지불합니다.,Jean,translated_draft,200,atlas03_r01_c08,왜가리,"Place this bird sideways, so that it covers 2 [wetland] spaces. Pay the lower egg cost."
ability_5156b3ca56f4,플레이어 수보다 1장 많은 카드를 뽑습니다. 당신부터 시계 방향으로 각 플레이어가 그중 카드 1장을 골라 손에 가져갑니다. 남은 카드 1장은 당신이 가집니다.,플레이어 수보다 1장 많은 카드를 뽑습니다. 당신부터 시계 방향으로 각 플레이어가 그중 카드 1장을 골라 손에 가져갑니다. 남은 카드 1장은 당신이 가집니다.,Jean,translated_draft,135,atlas02_r02_c03,아메리카검은머리물떼새,"Draw [card] equal to the number of players +1. Starting with you and proceeding clockwise, each player selects 1 of those cards and places it in their hand. You keep the extra card."
ability_57030fbdb2e7,이번 턴에 이미 얻은 먹이 종류 중 1개를 공급처에서 가져옵니다.,이번 턴에 이미 얻은 먹이 종류 중 1개를 공급처에서 가져옵니다.,Jean,translated_draft,217,atlas03_r03_c05,에어오프이느로빈,"From the supply, gain 1 food of a type you already gained this turn."
ability_577e801ec3cf,공급처에서 먹이 주사위 1개를 가져옵니다.,공급처에서 먹이 주사위 1개를 가져옵니다.,Jean,translated_draft,218,atlas03_r03_c06,흰브아크에드딱따구리,Gain 1 [die] from the birdfeeder.
ability_5c3e38690707,이 새를 가로로 놓아 숲 서식지 칸 2개를 덮게 합니다. 더 낮은 알 비용을 지불합니다.,이 새를 가로로 놓아 숲 서식지 칸 2개를 덮게 합니다. 더 낮은 알 비용을 지불합니다.,Jean,translated_draft,223|224,atlas03_r04_c01|atlas03_r04_c02,르오느그꼬리트이트새|일반검은새,"Place this bird sideways, so that it covers 2 [forest] spaces. Pay the lower egg cost."
ability_5daffd94c822,손에 있는 카드 1장을 이 새 아래에 끼워넣습니다. 그렇게 했다면 카드 1장을 뽑습니다.,손에 있는 카드 1장을 이 새 아래에 끼워넣습니다. 그렇게 했다면 카드 1장을 뽑습니다.,Jean,translated_draft,122|123|124|125|126|127|128|129|130,atlas01_r07_c10|atlas02_r01_c01|atlas02_r01_c02|atlas02_r01_c03|atlas02_r01_c04|atlas02_r01_c05|atlas02_r01_c06|atlas02_r01_c07|atlas02_r01_c08,고리부리갈매기|아메리카물닭|노란르우므프에드워블러|아메리카로빈|집되새|브아르느제비|트르이제비|보라제비|보라초록제비,"Tuck a [card] from your hand behind this bird. If you do, draw 1 [card]."
ability_5dc2262ae322,당신의 공급처에서 아무 먹이를 최대 5개까지 버립니다. 버린 먹이 1개마다 덱에서 카드 1장을 이 새 아래에 끼워넣습니다.,당신의 공급처에서 아무 먹이를 최대 5개까지 버립니다. 버린 먹이 1개마다 덱에서 카드 1장을 이 새 아래에 끼워넣습니다.,Jean,translated_draft,250|251,atlas03_r06_c08|atlas03_r06_c09,유라시아크오르르아르에드비둘기|일반찌르레기,"Discard up to 5 [wild] from your supply. For each, tuck 1 [card] from the deck behind this bird."
ability_5ec842d2a35f,당신의 공급처에서 무척추동물 먹이를 최대 5개까지 버립니다. 버린 먹이 1개마다 덱에서 카드 1장을 이 새 아래에 끼워넣습니다.,당신의 공급처에서 무척추동물 먹이를 최대 5개까지 버립니다. 버린 먹이 1개마다 덱에서 카드 1장을 이 새 아래에 끼워넣습니다.,Jean,translated_draft,252,atlas03_r06_c10,일반칼새,"Discard up to 5 [invertebrate] from your supply. For each, tuck 1 [card] from the deck behind this bird."
ability_60382e80ad40,새 보너스 카드 1장을 뽑습니다. 그다음 공급처에서 먹이 주사위 1개를 가져옵니다.,새 보너스 카드 1장을 뽑습니다. 그다음 공급처에서 먹이 주사위 1개를 가져옵니다.,Jean,translated_draft,228,atlas03_r04_c06,크오르스이크아느동고비,Draw 1 new bonus card. Then gain 1 [die] from the birdfeeder.
ability_61964f36967a,모든 플레이어는 공급처에서 씨앗 먹이 1개를 가져옵니다.,모든 플레이어는 공급처에서 씨앗 먹이 1개를 가져옵니다.,Jean,translated_draft,64,atlas01_r02_c02,붉은솔잣새새,All players gain 1 [seed] from the supply.
ability_680c6900ad09,먹이 종류 1가지를 선택합니다. 모든 플레이어는 공급처에서 그 먹이 1개를 가져옵니다.,먹이 종류 1가지를 선택합니다. 모든 플레이어는 공급처에서 그 먹이 1개를 가져옵니다.,Jean,translated_draft,215|216,atlas03_r03_c03|atlas03_r03_c04,브르우에스러오아트새|일반느이그흐트이느그아르에새,Choose a food type. All players gain 1 of that food from the supply.
ability_68f2c6058f24,손에 있는 카드 1장을 이 새 아래에 끼워넣습니다. 그렇게 했다면 공급처에서 과일 먹이 1개를 가져옵니다.,손에 있는 카드 1장을 이 새 아래에 끼워넣습니다. 그렇게 했다면 공급처에서 과일 먹이 1개를 가져옵니다.,Jean,translated_draft,131,atlas02_r01_c09,크에드아르여새,"Tuck a [card] from your hand behind this bird. If you do, gain 1 [fruit] from the supply."
ability_7053fe476cac,공급처에 무척추동물 먹이나 과일 먹이가 있다면 그중 1개를 가져옵니다.,공급처에 무척추동물 먹이나 과일 먹이가 있다면 그중 1개를 가져옵니다.,Jean,translated_draft,73|74,atlas01_r03_c01|atlas01_r03_c02,남색멧새|서부풍금조,"Gain 1 [invertebrate] or [fruit] from the birdfeeder, if there is one."
ability_7114f4c90377,"이 새가 라운드 종료 목표 조건에 해당한다면, 그 목표를 계산할 때 이 새를 2마리로 셉니다.","이 새가 라운드 종료 목표 조건에 해당한다면, 그 목표를 계산할 때 이 새를 2마리로 셉니다.",Jean,translated_draft,259|260|261,atlas03_r07_c07|atlas03_r07_c08|atlas03_r07_c09,그르에이르아그기러기|크에트트이스워블러|유라시아초록딱따구리,"This bird counts double toward the end-of-round goal, if it qualifies for the goal."
ability_71751fcd88ba,"이 새의 비용에 있는 설치류 먹이 1개마다, 대신 손에 있는 카드 1장을 지불해도 됩니다. 그렇게 했다면 지불한 카드를 이 새 아래에 끼워넣습니다.","이 새의 비용에 있는 설치류 먹이 1개마다, 대신 손에 있는 카드 1장을 지불해도 됩니다. 그렇게 했다면 지불한 카드를 이 새 아래에 끼워넣습니다.",Jean,translated_draft,239|240|241|242,atlas03_r05_c07|atlas03_r05_c08|atlas03_r05_c09|atlas03_r05_c10,유라시아스프아르르오흐오크새|북부그오시오크새|동부이므프어이아르수리|브오느에르르이스수리,"For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card."
ability_7211f75f8ece,"다른 플레이어가 먹이 얻기 행동을 할 때, 그 플레이어의 턴이 끝날 때 공급처에서 씨앗 먹이 1개를 가져옵니다.","다른 플레이어가 먹이 얻기 행동을 할 때, 그 플레이어의 턴이 끝날 때 공급처에서 씨앗 먹이 1개를 가져옵니다.",Jean,translated_draft,210,atlas03_r02_c08,유라시아트르이참새,"When another player takes the ""gain food"" action, gain 1 [seed] from the birdfeeder at the end of their turn."
ability_74b3ab060377,당신의 공급처에서 씨앗 먹이를 최대 5개까지 버립니다. 버린 먹이 1개마다 덱에서 카드 1장을 이 새 아래에 끼워넣습니다.,당신의 공급처에서 씨앗 먹이를 최대 5개까지 버립니다. 버린 먹이 1개마다 덱에서 카드 1장을 이 새 아래에 끼워넣습니다.,Jean,translated_draft,253,atlas03_r07_c01,집참새,"Discard up to 5 [seed] from your supply. For each, tuck 1 [card] from the deck behind this bird."
ability_76a995ff0e17,습지 서식지에 살 수 있는 공개 카드 1장을 가져옵니다.,습지 서식지에 살 수 있는 공개 카드 1장을 가져옵니다.,Jean,translated_draft,197,atlas03_r01_c05,스쿠아크크오왜가리,Gain 1 face-up [card] that can live in [wetland].
ability_7b6d1f419747,"당신의 다른 새 중 원하는 새에서 알 1개를 버리고, 공급처에서 아무 먹이 2개를 가져옵니다.","당신의 다른 새 중 원하는 새에서 알 1개를 버리고, 공급처에서 아무 먹이 2개를 가져옵니다.",Jean,translated_draft,69|70,atlas01_r02_c07|atlas01_r02_c08,치와와큰까마귀|큰까마귀,Discard 1 [egg] from any of your other birds to gain 2 [wild] from the supply.
ability_810123c2cd46,보너스 카드 3장을 뽑은 뒤 2장을 버립니다. 이번 턴에 뽑지 않은 보너스 카드를 버려도 됩니다.,보너스 카드 3장을 뽑은 뒤 2장을 버립니다. 이번 턴에 뽑지 않은 보너스 카드를 버려도 됩니다.,Jean,translated_draft,262,atlas03_r07_c10,아브브오트트스부비,"Draw 3 bonus cards, then discard 2. You may discard bonus cards you did not draw this turn."
ability_813291cd876c,당신의 초원 서식지에 두 번째 새를 냅니다. 원래 비용을 지불합니다.,당신의 초원 서식지에 두 번째 새를 냅니다. 원래 비용을 지불합니다.,Jean,translated_draft,166|167|168,atlas02_r05_c04|atlas02_r05_c05|atlas02_r05_c06,사바나참새|동부파랑새|산파랑새,Play a second bird in your [grassland]. Pay its normal cost.
ability_83734c14dea9,공급처 밖에 있는 모든 주사위를 굴립니다. 물고기 먹이가 하나라도 나오면 물고기 먹이 1개를 가져와 이 새 위에 저장합니다.,공급처 밖에 있는 모든 주사위를 굴립니다. 물고기 먹이가 하나라도 나오면 물고기 먹이 1개를 가져와 이 새 위에 저장합니다.,Jean,translated_draft,99|100|101|102|103|104,atlas01_r05_c07|atlas01_r05_c08|atlas01_r05_c09|atlas01_r05_c10|atlas01_r06_c01|atlas01_r06_c02,일반비오리|윌렛|아닝가새|눈백로|흰프아크에드따오기|검은가위부리,"Roll all dice not in birdfeeder. If any are [fish], gain 1 [fish] and cache it on this card."
ability_877f26d4ff97,당신의 초원이나 숲 서식지에 두 번째 새를 냅니다. 원래 비용을 지불합니다.,당신의 초원이나 숲 서식지에 두 번째 새를 냅니다. 원래 비용을 지불합니다.,Jean,translated_draft,165,atlas02_r05_c03,집굴뚝새,Play a second bird in your [grassland] or [forest]. Pay its normal cost.
ability_88357776f503,"씨앗 먹이 1개를 버리고, 덱에서 카드 2장을 이 새 아래에 끼워넣습니다.","씨앗 먹이 1개를 버리고, 덱에서 카드 2장을 이 새 아래에 끼워넣습니다.",Jean,translated_draft,111|112|113,atlas01_r06_c09|atlas01_r06_c10|atlas01_r07_c01,캐나다두루미|캐나다기러기|검은배휘파람오리,Discard 1 [seed] to tuck 2 [card] from the deck behind this bird.
ability_8a0bb4080194,"다른 플레이어가 어떤 이유로든 카드를 끼워넣을 때, 손에 있는 카드 1장을 이 새 아래에 끼워넣습니다. 그 플레이어의 턴이 끝날 때 카드 1장을 뽑습니다.","다른 플레이어가 어떤 이유로든 카드를 끼워넣을 때, 손에 있는 카드 1장을 이 새 아래에 끼워넣습니다. 그 플레이어의 턴이 끝날 때 카드 1장을 뽑습니다.",Jean,translated_draft,248,atlas03_r06_c06,스느오멧새,"When another player tucks a [card] for any reason, tuck 1 [card] from your hand behind this bird, then draw 1 [card] at the end of their turn."
ability_8ec981b9e26a,"다른 플레이어 1명을 선택합니다. 그 플레이어의 초원 서식지에 있는 행동 큐브 1개마다 손에 있는 카드 1장을 이 새 아래에 끼워넣고, 같은 수만큼 카드를 뽑습니다.","다른 플레이어 1명을 선택합니다. 그 플레이어의 초원 서식지에 있는 행동 큐브 1개마다 손에 있는 카드 1장을 이 새 아래에 끼워넣고, 같은 수만큼 카드를 뽑습니다.",Jean,translated_draft,249,atlas03_r06_c07,두건까마귀,"Choose 1 other player. For each action cube on their [grassland], tuck 1 [card] from your hand behind this bird, then draw an equal number of [card]."
ability_8ff0b0ae2703,당신을 포함해 플레이어 1명을 선택합니다. 그 플레이어가 가진 포식자 새 1마리마다 공급처에서 설치류 먹이 1개를 가져와 이 새 위에 저장합니다.,당신을 포함해 플레이어 1명을 선택합니다. 그 플레이어가 가진 포식자 새 1마리마다 공급처에서 설치류 먹이 1개를 가져와 이 새 위에 저장합니다.,Jean,translated_draft,182|183,atlas02_r06_c10|atlas02_r07_c01,크아르르이오느까마귀|그르이프프오느독수리,Choose any 1 player (including yourself). Cache 1 [rodent] from the supply on this bird for each [predator] that player has.
ability_8fff0763b19c,다른 플레이어의 공급처에서 씨앗 먹이 1개를 가져와 이 새 위에 저장합니다. 그 플레이어는 공급처에서 먹이 주사위 1개를 가져옵니다.,다른 플레이어의 공급처에서 씨앗 먹이 1개를 가져와 이 새 위에 저장합니다. 그 플레이어는 공급처에서 먹이 주사위 1개를 가져옵니다.,Jean,translated_draft,190,atlas02_r07_c08,어치,Steal 1 [seed] from another player's supply and cache it on this bird. They gain 1 [die] from the birdfeeder.
ability_91bd795a767a,새 보너스 카드 1장을 뽑습니다. 그다음 카드 3장을 뽑고 그중 1장을 가집니다.,새 보너스 카드 1장을 뽑습니다. 그다음 카드 3장을 뽑고 그중 1장을 가집니다.,Jean,translated_draft,226|227,atlas03_r04_c04|atlas03_r04_c05,붉은크느오트새|검은꼬리갓윗새,Draw 1 new bonus card. Then draw 3 [card] and keep 1 of them.
ability_9666e599c0d8,"당신의 다른 새 중 원하는 새에서 알 1개를 버리고, 공급처에서 아무 먹이 1개를 가져옵니다.","당신의 다른 새 중 원하는 새에서 알 1개를 버리고, 공급처에서 아무 먹이 1개를 가져옵니다.",Jean,translated_draft,66|67|68,atlas01_r02_c04|atlas01_r02_c05|atlas01_r02_c06,아메리카까마귀|물고기까마귀|검은관밤왜가리,Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.
ability_97d81cefa370,공급처를 다시 굴립니다. 그렇게 했다면 다시 굴린 뒤 공급처에서 무척추동물 먹이 1개를 가져옵니다.,공급처를 다시 굴립니다. 그렇게 했다면 다시 굴린 뒤 공급처에서 무척추동물 먹이 1개를 가져옵니다.,Jean,translated_draft,221,atlas03_r03_c09,에어오프이느브이이트어새,"Reset the birdfeeder. If you do, gain 1 [invertebrate] from the birdfeeder after resetting."
ability_9a1421938cb6,"덱에서 카드 1장을 확인합니다. 날개 길이가 75센티미터 미만이면 이 새 아래에 끼워넣고, 아니면 버립니다.","덱에서 카드 1장을 확인합니다. 날개 길이가 75센티미터 미만이면 이 새 아래에 끼워넣고, 아니면 버립니다.",Jean,translated_draft,90|91|92|93|94|95,atlas01_r04_c08|atlas01_r04_c09|atlas01_r04_c10|atlas01_r05_c01|atlas01_r05_c02|atlas01_r05_c03,붉은꼬리매|북부개구리매|쿠퍼매|붉은시아우르드어에드매|줄무늬올빼미|스웨인슨매,"Look at a [card] from the deck. If <75cm, tuck it behind this bird. If not, discard it. || Look at a [card] from the deck. If <75cm, tuck it under this bird. If not, discard it."
ability_9a334a02292b,새 보너스 카드 1장을 뽑습니다. 그다음 카드 1장을 가져오거나 원하는 새 1마리에 알 1개를 낳습니다.,새 보너스 카드 1장을 뽑습니다. 그다음 카드 1장을 가져오거나 원하는 새 1마리에 알 1개를 낳습니다.,Jean,translated_draft,225|230,atlas03_r04_c03|atlas03_r04_c08,흰올빼미|작은브우스트아르드새,Draw 1 new bonus card. Then gain 1 [card] or lay 1 [egg] on any bird.
